,number,value,params_freeze,params_gamma,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
0,0,5.435905933380127,3,8,2.0730233545788777e-05,effv2s,3,7,9,15,COMPLETE
1,1,5.917743682861328,1,10,0.00011280974386135849,resnet34,6,5,9,17,COMPLETE
2,2,9.460208892822266,-1,6,0.0026485694841211255,resnet34,4,4,4,16,COMPLETE
3,3,12.143509864807129,4,9,0.009356517195848853,resnet34,9,7,10,23,COMPLETE
4,4,128.48715209960938,3,9,2.155692281592679e-05,resnet34,7,7,5,16,COMPLETE
5,5,6.23190450668335,2,9,0.0006297343379624366,resnet18,10,3,6,15,COMPLETE
6,6,5.115502834320068,0,7,0.0003311717470434866,effv2s,6,4,4,27,COMPLETE
7,7,4.573354721069336,3,10,0.00032837775034736457,effv2s,5,10,7,30,COMPLETE
8,8,7.120664596557617,0,10,0.0032872931922508586,resnet18,7,10,8,29,COMPLETE
9,9,5.14692497253418,0,7,6.0980289954545565e-05,resnet34,6,6,5,16,COMPLETE
10,10,10.05124282836914,4,5,0.0009621481827935249,effv2s,4,10,7,24,COMPLETE
11,11,5.336843490600586,1,7,0.00021300488966134696,effv2s,5,9,3,30,COMPLETE
12,12,5.31171989440918,2,6,0.00036539290682483763,effv2s,8,3,7,27,COMPLETE
13,13,23.505496978759766,-1,8,0.00010024182983371222,effv2s,5,8,3,26,COMPLETE
14,14,5.822916030883789,3,6,0.0012783028697057953,effv2s,5,5,6,27,COMPLETE
15,15,5.060008525848389,0,8,0.00022790437474404777,effv2s,3,5,5,20,COMPLETE
16,16,118.12513732910156,1,10,1.0781503080259678e-05,effv2s,3,9,8,20,COMPLETE
17,17,6.051015377044678,2,8,0.0001964019564486265,resnet18,4,6,5,20,COMPLETE
18,18,6.420332431793213,3,9,5.184196760327515e-05,effv2s,3,8,6,20,COMPLETE
19,19,6.233809947967529,0,10,0.0007157828007976832,effv2s,4,5,8,22,COMPLETE
20,20,8.155440330505371,-1,5,0.0021114208257421124,resnet18,5,8,4,18,COMPLETE
21,21,25.12071990966797,0,7,0.00034632370947455256,effv2s,6,4,4,29,COMPLETE
22,22,11.282655715942383,1,8,0.00015731958745516465,effv2s,8,4,5,25,COMPLETE
23,23,5.2771501541137695,0,7,0.0004636039235368651,effv2s,7,5,4,28,COMPLETE
24,24,26.450468063354492,-1,6,6.947248747865162e-05,effv2s,6,4,7,30,COMPLETE
25,25,6.998500347137451,2,9,0.00023892307268320992,effv2s,5,6,3,22,COMPLETE
26,26,6.145037651062012,1,8,0.0011801051833869854,effv2s,3,3,6,25,COMPLETE
27,27,19.875444412231445,0,7,0.000497585442961571,effv2s,8,5,5,28,COMPLETE
28,28,139.6287078857422,4,8,3.555253732207195e-05,resnet18,4,4,4,19,COMPLETE
29,29,4.714444160461426,3,9,0.00011559155445632487,effv2s,3,6,9,21,COMPLETE
30,30,4.768967628479004,3,9,0.00011905977455292054,effv2s,3,6,10,21,COMPLETE
31,31,4.61766242980957,3,9,0.00012508042089018774,effv2s,3,6,10,21,COMPLETE
32,32,4.726673126220703,3,10,0.0001426263289413025,effv2s,3,6,10,21,COMPLETE
33,33,12.540922164916992,4,10,8.666143105966062e-05,effv2s,3,7,9,23,COMPLETE
34,34,6.232399940490723,3,10,3.879983863260651e-05,resnet34,4,6,9,18,COMPLETE
35,35,4.798816680908203,3,10,0.00014894264499843706,effv2s,4,7,10,21,COMPLETE
36,36,17.273271560668945,4,9,2.9775612145974835e-05,resnet34,3,7,10,23,COMPLETE
37,37,4.9858479499816895,2,10,9.125825916381968e-05,effv2s,3,6,10,21,COMPLETE
38,38,4.649095058441162,3,9,0.0001314844820030251,effv2s,4,9,9,18,COMPLETE
39,39,6.390434741973877,3,9,5.227833548419076e-05,resnet34,4,9,8,17,COMPLETE
40,40,4.881690502166748,2,9,0.00027608770486580624,effv2s,5,10,9,19,COMPLETE
41,41,6.029603481292725,3,9,0.00013106342365339213,effv2s,3,10,9,22,COMPLETE
42,42,5.262220859527588,3,10,7.488371181418338e-05,effv2s,4,9,9,24,COMPLETE
43,43,11.29833698272705,4,10,0.009541712262366083,effv2s,4,7,10,15,COMPLETE
44,44,12.351036071777344,4,9,0.00017092271574452135,resnet18,10,8,8,18,COMPLETE
45,45,4.986663818359375,3,9,0.0001157633701124314,effv2s,3,10,10,19,COMPLETE
46,46,11.681815147399902,2,10,0.00043911814966784204,effv2s,4,6,9,24,COMPLETE
47,47,130.31961059570312,3,10,1.916763661586981e-05,resnet34,3,6,9,21,COMPLETE
48,48,9.336017608642578,4,9,0.0006830378989098147,effv2s,5,9,10,17,COMPLETE
49,49,4.678631782531738,2,10,0.0002742715687682246,effv2s,4,8,8,16,COMPLETE
50,50,6.017527103424072,2,9,0.00020830160552912823,resnet18,5,8,8,16,COMPLETE
51,51,6.0551981925964355,3,10,0.0002888033821997593,effv2s,4,9,7,16,COMPLETE
52,52,4.752697944641113,3,10,0.00016521213524598754,effv2s,3,10,8,15,COMPLETE
53,53,5.205499649047852,2,10,0.00010856499432478549,effv2s,4,7,9,17,COMPLETE
54,54,4.9042887687683105,3,10,0.0003203463073028946,effv2s,3,9,7,19,COMPLETE
55,55,5.026604175567627,2,8,5.427232359799513e-05,effv2s,4,8,9,20,COMPLETE
56,56,5.040426254272461,3,9,0.00057056619394732,effv2s,3,10,8,23,COMPLETE
57,57,8.34797477722168,4,9,0.0008305990850689679,effv2s,5,6,10,18,COMPLETE
58,58,7.187452793121338,3,10,0.006669207189466758,effv2s,4,5,7,22,COMPLETE
59,59,5.230114459991455,2,10,0.0003907927425769631,effv2s,6,8,8,20,COMPLETE
60,60,4.357603073120117,3,8,0.0002544240082292226,effv2s,3,7,10,21,COMPLETE
61,61,5.233358860015869,3,8,0.00026542298875195815,effv2s,3,7,10,21,COMPLETE
62,62,4.782729148864746,3,8,0.0001893564865417448,effv2s,3,8,10,22,COMPLETE
63,63,4.648228645324707,3,9,0.00013019516808734886,effv2s,3,7,9,21,COMPLETE
64,64,4.803344249725342,2,8,7.85992637257536e-05,effv2s,9,7,9,26,COMPLETE
65,65,6.20216703414917,3,9,0.00023657333047195025,resnet18,4,7,9,19,COMPLETE
66,66,11.639366149902344,4,9,0.00010715604832376329,effv2s,3,8,8,24,COMPLETE
67,67,4.812819480895996,3,8,0.0003568513760512461,effv2s,4,9,9,20,COMPLETE
68,68,6.181874752044678,1,9,6.193175839493901e-05,resnet34,3,7,7,22,COMPLETE
69,69,5.15208101272583,3,7,0.0001396352782617764,effv2s,5,6,9,18,COMPLETE
70,70,4.7319231033325195,2,9,0.0001860279557469579,effv2s,7,8,6,17,COMPLETE
71,71,4.531055450439453,3,9,0.00013598759454990587,effv2s,3,6,10,21,COMPLETE
72,72,5.285272598266602,3,9,9.806843604072373e-05,effv2s,3,5,10,21,COMPLETE
73,73,5.027425289154053,3,9,0.00022893278911638264,effv2s,3,6,10,23,COMPLETE
74,74,12.195162773132324,4,8,0.00012979638596631924,effv2s,3,6,10,20,COMPLETE
75,75,5.253144264221191,3,9,0.0005198201223551842,effv2s,4,7,9,22,COMPLETE
76,76,14.461956024169922,4,9,4.3905027406001446e-05,effv2s,4,5,10,21,COMPLETE
77,77,4.809070587158203,3,8,8.595400742624569e-05,effv2s,3,7,9,25,COMPLETE
78,78,4.669373512268066,3,6,0.00016204800925797414,effv2s,3,6,8,20,COMPLETE
79,79,5.783452987670898,2,5,0.00015620867960700215,resnet18,4,9,7,29,COMPLETE
80,80,5.6784987449646,3,6,0.0004308232737883125,resnet34,6,10,8,20,COMPLETE
81,81,4.761037349700928,3,6,0.00027272445233623847,effv2s,3,6,8,19,COMPLETE
82,82,4.688689708709717,3,6,0.00019090163218367086,effv2s,3,6,9,21,COMPLETE
83,83,5.666132926940918,3,6,0.00020004469284223695,effv2s,3,6,9,21,COMPLETE
84,84,4.807703018188477,3,6,0.0003304812761301846,effv2s,3,5,6,20,COMPLETE
85,85,4.659181594848633,3,7,6.814265271979819e-05,effv2s,3,6,10,22,COMPLETE
86,86,4.561060428619385,3,7,9.416874037977082e-05,effv2s,4,7,10,22,COMPLETE
87,87,5.812942981719971,3,7,7.532997135967261e-05,effv2s,3,5,10,23,COMPLETE
88,88,4.886330604553223,3,7,6.855191798186934e-05,effv2s,3,7,10,22,COMPLETE
89,89,5.305594444274902,3,7,9.765263627532134e-05,effv2s,4,6,10,22,COMPLETE
90,90,11.28353214263916,4,7,0.00012691067605423578,effv2s,3,7,10,23,COMPLETE
91,91,5.268449306488037,3,7,0.00015258085263103303,effv2s,4,7,10,22,COMPLETE
92,92,4.922466278076172,3,7,0.0002380886968673054,effv2s,5,8,10,21,COMPLETE
93,93,4.8384108543396,3,8,0.00017194533201836358,effv2s,4,6,10,16,COMPLETE
94,94,6.302724838256836,2,5,6.068059372281255e-05,effv2s,4,7,7,15,COMPLETE
95,95,5.507141590118408,3,7,2.9839628219891543e-05,effv2s,5,6,10,20,COMPLETE
96,96,5.909958839416504,3,10,8.588901026770313e-05,effv2s,3,8,8,19,COMPLETE
97,97,4.558825969696045,3,8,0.00011254059579665763,effv2s,3,9,10,21,COMPLETE
98,98,6.640212059020996,3,8,0.00011263338400102052,resnet34,3,9,10,21,COMPLETE
99,99,6.351154327392578,3,8,0.00013207758208337933,resnet18,3,10,10,30,COMPLETE
