,number,value,params_freeze,params_gamma,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
0,0,134.74063110351562,3,8,2.0730233545788777e-05,effv2s,3,7,9,15,COMPLETE
1,1,6.208804130554199,1,10,0.00011280974386135849,resnet34,6,5,9,17,COMPLETE
2,2,7.622152805328369,-1,6,0.0026485694841211255,resnet34,4,4,4,16,COMPLETE
3,3,11.481952667236328,4,9,0.009356517195848853,resnet34,9,7,10,23,COMPLETE
4,4,139.95248413085938,3,9,2.155692281592679e-05,resnet34,7,7,5,16,COMPLETE
5,5,7.045525550842285,2,9,0.0006297343379624366,resnet18,10,3,6,15,COMPLETE
6,6,8.877462387084961,0,7,0.0003311717470434866,effv2s,6,4,4,27,COMPLETE
7,7,5.408283710479736,3,10,0.00032837775034736457,effv2s,5,10,7,30,COMPLETE
8,8,8.52295207977295,0,10,0.0032872931922508586,resnet18,7,10,8,29,COMPLETE
9,9,137.89324951171875,0,7,6.0980289954545565e-05,resnet34,6,6,5,16,COMPLETE
10,10,9.137760162353516,4,5,0.0009621481827935249,effv2s,4,10,7,24,COMPLETE
11,11,5.931197643280029,2,10,0.00011302921279345284,effv2s,5,9,8,19,COMPLETE
12,12,5.696483612060547,2,10,0.00011516972814984513,effv2s,5,9,7,20,COMPLETE
13,13,6.695295333862305,3,8,0.00019726812384076166,effv2s,4,9,7,21,COMPLETE
14,14,6.4746198654174805,2,10,5.5799542904785905e-05,effv2s,8,9,6,26,COMPLETE
15,15,5.485462665557861,1,9,0.0004931654880396776,effv2s,5,8,3,30,COMPLETE
16,16,7.715001583099365,1,9,0.0009218751204855219,effv2s,3,8,3,30,COMPLETE
17,17,7.444686412811279,1,8,0.00040549096015538933,resnet18,5,8,3,28,COMPLETE
18,18,9.20473861694336,-1,9,0.0018151699164257295,effv2s,8,10,5,25,COMPLETE
19,19,9.634438514709473,3,8,0.00020096175012455458,effv2s,5,8,4,30,COMPLETE
20,20,11.753680229187012,4,9,0.008752994423119527,resnet18,4,6,8,28,COMPLETE
21,21,6.16226863861084,2,10,4.3694618606114276e-05,effv2s,5,9,7,21,COMPLETE
