,number,value,params_freeze,params_gamma,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
0,0,4.665140628814697,3,8,2.0730233545788777e-05,effv2s,3,7,9,15,COMPLETE
1,1,4.480406284332275,1,10,0.00011280974386135849,resnet34,6,5,9,17,COMPLETE
2,2,6.249042510986328,-1,6,0.0026485694841211255,resnet34,4,4,4,16,COMPLETE
3,3,8.747648239135742,4,9,0.009356517195848853,resnet34,9,7,10,23,COMPLETE
4,4,4.9470415115356445,3,9,2.155692281592679e-05,resnet34,7,7,5,16,COMPLETE
5,5,4.9104838371276855,2,9,0.0006297343379624366,resnet18,10,3,6,15,COMPLETE
6,6,10.148860931396484,0,7,0.0003311717470434866,effv2s,6,4,4,27,COMPLETE
7,7,4.1925201416015625,3,10,0.00032837775034736457,effv2s,5,10,7,30,COMPLETE
8,8,5.843975067138672,0,10,0.0032872931922508586,resnet18,7,10,8,29,COMPLETE
9,9,4.478878974914551,0,7,6.0980289954545565e-05,resnet34,6,6,5,16,COMPLETE
10,10,7.881170272827148,4,5,0.0009621481827935249,effv2s,4,10,7,24,COMPLETE
11,11,3.9490623474121094,1,7,0.0001109466151077668,effv2s,5,9,6,19,COMPLETE
12,12,4.341518878936768,2,6,0.00011350569478625008,effv2s,5,9,7,20,COMPLETE
13,13,4.0111846923828125,1,8,0.00019726812384076166,effv2s,4,9,6,20,COMPLETE
14,14,4.1861252784729,1,8,5.4722632131872084e-05,effv2s,3,8,3,20,COMPLETE
15,15,4.552245616912842,1,7,0.00014131912551197922,effv2s,8,9,6,20,COMPLETE
16,16,9.381415367126465,-1,6,1.0781503080259678e-05,effv2s,4,8,5,19,COMPLETE
17,17,4.64939022064209,2,8,0.0009303861270460922,resnet18,5,9,8,25,COMPLETE
18,18,4.151247024536133,0,5,0.00018658449543812979,effv2s,3,8,6,18,COMPLETE
19,19,5.717370986938477,1,7,4.9849501889306926e-05,effv2s,5,6,3,22,COMPLETE
20,20,4.611988067626953,2,8,0.0005587903021871371,resnet18,4,9,8,22,COMPLETE
21,21,4.3456621170043945,0,5,0.00021367126782082234,effv2s,3,8,6,19,COMPLETE
22,22,4.131951332092285,0,5,0.00019208267937050933,effv2s,3,8,6,18,COMPLETE
23,23,6.811230182647705,-1,6,8.751936605854108e-05,effv2s,4,9,5,21,COMPLETE
24,24,4.156857490539551,1,9,3.214237810906982e-05,effv2s,5,8,4,18,COMPLETE
25,25,3.9540913105010986,0,5,0.00023363056334743969,effv2s,3,10,7,18,COMPLETE
26,26,3.9660139083862305,1,6,0.0004441344968099977,effv2s,4,10,7,19,COMPLETE
27,27,6.8986029624938965,-1,6,0.0018155653798936047,effv2s,6,10,7,17,COMPLETE
28,28,4.546816349029541,0,6,0.000391225194869583,resnet18,3,10,8,21,COMPLETE
29,29,4.575375556945801,2,5,0.0014052385033804134,effv2s,4,10,9,15,COMPLETE
30,30,3.844792127609253,1,7,0.00046107468301142174,effv2s,5,10,10,19,COMPLETE
31,31,4.065741539001465,1,7,0.0005386138346963422,effv2s,5,10,9,19,COMPLETE
32,32,3.8951101303100586,1,7,0.00028450587753324827,effv2s,3,9,10,18,COMPLETE
33,33,4.3120269775390625,1,7,8.468288484580818e-05,effv2s,7,9,10,17,COMPLETE
34,34,4.648207187652588,0,7,0.00025366888138383806,resnet34,3,9,10,17,COMPLETE
35,35,4.215266704559326,2,8,0.0001296711745663703,effv2s,6,7,10,21,COMPLETE
36,36,4.171079635620117,1,7,0.0009527450958345106,resnet34,8,10,9,16,COMPLETE
37,37,6.203875541687012,0,6,0.004762019515158712,effv2s,3,7,9,18,COMPLETE
38,38,3.996211528778076,3,9,0.0007427716449919609,effv2s,8,4,10,23,COMPLETE
39,39,4.370397090911865,2,7,0.000307925861269375,resnet34,10,9,10,15,COMPLETE
40,40,18.36750030517578,-1,9,3.934237296421483e-05,effv2s,5,5,5,17,COMPLETE
41,41,4.1234846115112305,1,6,0.0003960046143876513,effv2s,4,10,7,19,COMPLETE
42,42,3.8746378421783447,1,6,0.0004893777552759006,effv2s,4,10,8,18,COMPLETE
43,43,3.9375648498535156,1,5,0.0002934412871414333,effv2s,3,10,8,16,COMPLETE
44,44,4.519051551818848,1,6,0.0015814961898771875,resnet18,5,9,8,16,COMPLETE
45,45,3.794621467590332,2,7,8.053944635160253e-05,effv2s,4,10,8,16,COMPLETE
46,46,4.476162910461426,2,7,0.0007347542335048975,effv2s,4,10,9,15,COMPLETE
47,47,4.467248916625977,3,6,2.3880373237986658e-05,effv2s,3,10,8,16,COMPLETE
48,48,8.422492980957031,4,5,0.00029046821345929093,effv2s,4,3,9,17,COMPLETE
49,49,4.299428939819336,2,7,7.598109683399048e-05,resnet34,3,10,8,15,COMPLETE
50,50,4.958431243896484,2,8,0.001170504307244487,effv2s,4,9,9,28,COMPLETE
51,51,4.580935001373291,1,7,0.00014723707101861158,effv2s,5,10,10,16,COMPLETE
52,52,4.463855743408203,1,7,0.00010439362368822913,effv2s,4,9,8,20,COMPLETE
