,number,value,params_freeze,params_gamma,params_lr,params_modelname,params_nd1,params_nd2,params_nd3,params_step_size,state
0,0,5.238158702850342,3,8,2.0730233545788777e-05,effv2s,3,7,9,15,COMPLETE
1,1,4.333930969238281,1,10,0.00011280974386135849,resnet34,6,5,9,17,COMPLETE
2,2,6.321488380432129,-1,6,0.0026485694841211255,resnet34,4,4,4,16,COMPLETE
3,3,8.25861644744873,4,9,0.009356517195848853,resnet34,9,7,10,23,COMPLETE
4,4,4.5916314125061035,3,9,2.155692281592679e-05,resnet34,7,7,5,16,COMPLETE
5,5,4.2629241943359375,2,9,0.0006297343379624366,resnet18,10,3,6,15,COMPLETE
6,6,7.69381856918335,0,7,0.0003311717470434866,effv2s,6,4,4,27,COMPLETE
7,7,4.818901062011719,3,10,0.00032837775034736457,effv2s,5,10,7,30,COMPLETE
8,8,7.849039554595947,0,10,0.0032872931922508586,resnet18,7,10,8,29,COMPLETE
9,9,4.7102789878845215,0,7,6.0980289954545565e-05,resnet34,6,6,5,16,COMPLETE
10,10,4.287472248077393,2,5,0.000806139574304052,resnet18,10,3,6,20,COMPLETE
11,11,4.2044901847839355,2,5,0.0009860372554429916,resnet18,10,3,6,20,COMPLETE
12,12,4.732301712036133,2,5,0.0011155099472830387,resnet18,9,3,7,20,COMPLETE
13,13,4.803426742553711,1,8,0.0011513451062220691,resnet18,10,5,3,20,COMPLETE
14,14,4.522561550140381,2,6,0.00019504188759238112,resnet18,8,3,6,23,COMPLETE
15,15,8.727546691894531,4,9,0.0006162512702496365,resnet18,9,5,5,18,COMPLETE
16,16,7.240307331085205,1,6,0.0040408957812253,resnet18,10,9,8,25,COMPLETE
17,17,4.893758773803711,3,8,7.9800510617102e-05,resnet18,8,4,6,19,COMPLETE
18,18,4.3700785636901855,2,7,0.0019882507337501756,resnet18,9,8,7,22,COMPLETE
19,19,5.125430583953857,1,5,0.00647698379440228,resnet18,8,6,3,25,COMPLETE
20,20,5.040261745452881,-1,9,0.0005364051032222356,effv2s,10,4,8,18,COMPLETE
21,21,4.789302825927734,2,5,0.0010907971435534767,resnet18,10,3,6,21,COMPLETE
22,22,4.315169811248779,2,6,0.0006553815810114972,resnet18,10,3,6,19,COMPLETE
23,23,4.84745979309082,3,5,0.0001690480802014295,resnet18,9,3,5,25,COMPLETE
24,24,4.193431377410889,2,5,0.0014341245404192995,resnet18,8,4,4,21,COMPLETE
25,25,4.387259006500244,1,6,0.0016017580945088237,resnet18,8,4,4,22,COMPLETE
26,26,4.683194160461426,3,7,0.0004380375005377922,resnet18,7,5,4,24,COMPLETE
27,27,5.31953239440918,2,5,0.00477395980984432,resnet18,9,4,3,27,COMPLETE
28,28,8.580082893371582,4,8,0.001928526069181408,resnet18,8,6,5,15,COMPLETE
29,29,4.427544116973877,3,6,0.00021289328951814692,effv2s,3,5,7,21,COMPLETE
30,30,5.002869129180908,1,8,3.427827597710061e-05,effv2s,9,3,9,15,COMPLETE
31,31,4.6193060874938965,2,5,0.0008815813642869602,resnet18,10,3,6,20,COMPLETE
32,32,4.337733268737793,2,5,0.0007867164442281997,resnet18,10,4,6,18,COMPLETE
33,33,4.827301979064941,2,5,0.0018874405630111724,resnet18,10,3,5,17,COMPLETE
34,34,4.550578594207764,1,6,0.0003944454215131646,resnet34,9,4,4,21,COMPLETE
35,35,4.792365074157715,2,6,0.0025769399827248385,resnet18,5,3,7,19,COMPLETE
36,36,4.781351089477539,3,9,0.001397094131873477,resnet34,10,5,5,17,COMPLETE
37,37,4.696919918060303,1,10,0.0008333850574858248,resnet18,8,4,10,22,COMPLETE
38,38,4.801445484161377,0,5,1.1525481407386887e-05,resnet18,7,8,8,23,COMPLETE
39,39,4.358427047729492,3,7,0.00026690813573765614,resnet34,9,3,7,16,COMPLETE
40,40,14.603368759155273,4,9,0.0001302221231027799,effv2s,4,4,9,20,COMPLETE
41,41,4.086881637573242,2,6,0.0006389314029745485,resnet18,10,3,6,19,COMPLETE
42,42,4.536388397216797,2,5,0.0004832133935016545,resnet18,10,3,6,21,COMPLETE
